currency_name,dollar_to_currency,currency_to_dollar
MMK,2099.0047869393543,0.00047641625508541185
GIP,0.7845784595095253,1.2745697869721586
XPT,0.001088796364729705,918.4453883148767
MDL,17.763213411515565,0.05629612034901964
CUP,23.99274067159678,0.041679273480575124
KHR,4097.445538074793,0.000244054494613211
MKD,56.111618202194265,0.01782162111947245
VUV,119.02659579073499,0.00840148366301374
ANG,1.7929443312186715,0.5577418007843534
MRU,39.59519892651966,0.02525558722045542
SZL,18.627792873319972,0.0536832252108767
CVE,100.6114657622425,0.009939225041836934
SRD,36.63126978523626,0.027299080972700444
SVC,8.75,0.11428571428571428
XPD,0.0010165985912625132,983.6724235060178
BSD,1,1
XDR,0.7478484515166016,1.3371693128093625
RWF,1269.660835977508,0.0007876119130902412
AWG,1.79,0.5586592178770949
BTN,82.82348573780213,0.012073870003077906
